,Sentence,Label
17,"Yalnýzlýðýn korkunçtu bahanesi. Her nefes alýþýnda cigerine batýyor, battýkça alýþtýrýyor ve ayný yerden tekrar tekrar kanatýyordu. ","korku"
18,Küfür bir ihtiyaç kardeþim etmesek sinir küpü oluruz birbirimizi doðrarýz,"kizgin"
19,Artýk herhangi bir hayaIe kucak açamayacak kadar yorgunum!,"uzgun"
20,Doðum günümü kutladýðýnýz için teþekkür ederim bu arada,"mutlu"
21,Yok artýk inanmam efsane bir transfer olur !!,"surpriz"
22,"Abla ayaðýna kürklü bot giymiþti, yeminle ayaðýna kedi dolanmýþ sandým ödüm koptu","korku"
23,Aaa ciddi misin bu bugüne ait görüntü mü ?,"surpriz"
24,hayatýmýn yarýsý yediðim kazýklarý çýkarmakla geçti ve yýprandým,"uzgun"
25,"Yolcu yanýna çaðýrdý ""uçak gitmiyor ayný yerdeyiz yaýim saattir"" dedi birisine uçaðýn havada duramayacaðýný anlatacaðým aklýma gelmezdi þoktayým ?? ","surpriz"
26,Öðle yemeðinde bana eþlik eden Sezen Aksu'ya teþekkür ederim ,"mutlu"
27,Git buralardan herkesi arkanda býrak git mutsuzluðunu al yanýna gözyaþlarýný topla git ,"uzgun"
28,Agresifim herþeyden nefret edeceðim bir gece.,"kizgin"
29,Patlama çok büyük... ürkütücü rakamlar var. Allah korusun Yarabbi :(,"korku"
30,Gerçekte çift olmasýný istediðim hiçbir shipim yok. Oha.,"surpriz"
31,Hiç hissetmediðim kadar özgür hiç olmadýðým kadar mutsuz hiç düþünemeyeceðim kadar umutsuzum,"uzgun"
32,Sen ne kadar güzel harika ve süper dizisin :),"mutlu"
33,"Gerçekten hiç beklemiyordum, beklemiyorduk þahane bir sürpriz oldu verilen deðerin deðerini bilip deðer vermek güzel bir meziyet","surpriz"
34,Uzun bir süre sonra iþe baþlýyorum çok heyecanlýyým gerçekten,"mutlu"
35,Sürpriz yaparken sürprizle karþýlaþmak ,"surpriz"
36,"Uyusam uyuyamam, çalýþsam çalýþamam, okusam okuyamam þaþtým bu iþe","surpriz"
37,Sorgulamadan inanmama þaþtým kaldým.,"surpriz"
38,Mal mýsýn kýzým sen? Yoksa sende mi hýrsýzsýn?,"kizgin"
39,Son 2 yýldýr hiç bu kadar mutlu olmamýþtým. Teþekkür ederim Allah'ým,"mutlu"
40,Hayýrlý uzun güzel bir yaþam yazýlsýn ömrüne .. Doðum günün kutlu olsun dostum. ,"mutlu"
41,17. Kattayým 25 e çýkýcam ve kapalý alan fobim var ,"korku"
42,Bu korkunç durum son görevimizle ilgili deðil. Haberimiz bile olmadan en baþtan beri bu savaþýn içindeydik biz..,"korku"
43,Babam makinamý kýrdým diye bir daha almam diyor sinir küpüne dönüþtü adam ,"kizgin"
44,Bts’i etiketlerden sürekli Beþiktaþ çýkýyor delireceðim,"kizgin"
45,Yazmayýn bana sinirliyim aðzýmda ters kelime çýkabilir ,"kizgin"
46,Hala yüzünüz kýzarmadan gülebiliyorsunuz ya þaþkýnlýk verici.,"surpriz"
47,Yüzüne okumaya o kadar kaptýrmýþým ki kardeþimin baðýrmasýyla ödüm koptu ,"korku"
48,Millet çok mutluyum alevimin doðum günüsü,"mutlu"
49,Moralim o kadar bozuk ki böyle zamanlarda destek olacak biri olmalý yanýnda ama nerde bende o þans ,"uzgun"
50,Açýk sarý bizimle kaldý yaþasýn ,"mutlu"
51,Dizinin arka planýnda uzun eþek oynayan Koreliler görmek de enteresan bir sürpriz oldu. ,"surpriz"
52,Gerizekali ben ne diyorum sen ne halt yapýyorsun delireceðim,"kizgin"
53,Bir türk kahvesi içiyim dönerim tekrar sohbet ederiz aþklar öptüm,"mutlu"
54,Ts editörü o kadar uðraþmýþ ki kaç dilde teþekkür edeceðimi þaþýrdým ?? ,"surpriz"
55,Gerçeklere hayret etmek mucizesi bulsun hepimizi,"surpriz"
56,Kabus gibi bir günün ardýndan yarýn 3/B ye dersim var. Ölmeden mezara girmek bu bence,"korku"
57,Moralim bozuk ama niye bozuk onu bilmiyorum,"uzgun"
58,"Çok teþekkür ediyorum güzel bir sürpriz oldu benim için , Ýyiki varsýnýz","surpriz"
59,"Resmini öptüm de yattým, iyi geceler ","mutlu"
60,Keþke tek sosyal medya twitter kalsa bi anda insta falan çökse,"uzgun"
61,kültür ve iletiþim dergisinin 40. sayýsýna ulaþabilsem keþke.,"uzgun"
62,Þey çok güzel deðil mi ya ezan okunurken herkesin ayný anda kendine çeki düzen vermesi,"mutlu"
63,"mutlu"yum ama efkarli þarkýlar dinliyorum iþte böyle de harikayým,"mutlu"
64,Nerede lan benim çikolatalý sütüm bak sinirlendim.,"kizgin"
65,Üzüldüm ama bunlarý yedirdiðin dutlara sayýyorum,"uzgun"
66,Endiþe verici bir sakinlik bu içinden hiç çýkmak istemediðim,"korku"
67,Ekmek arasý peynir çok güzel bir besin kaynaðý caným ekmek arasý peynir,"mutlu"
68,çýldýracaðým kafayý yiyeceðim,"kizgin"
69,üniversitenin bizleri soktuðu o korkunç durum !! ,"korku"
70,Böyle rüya mý olur kabus gibiydi resmen,"korku"
71,Puzzle nasýl hobi olabilir tamamen sinir küpü olmak için ortaya atýlmýþ bir þey,"kizgin"
72,Haftalardýr çantamda kitap gezdirip bir türlü okumaya fýrsat bulamýyorum yýprandým.,"uzgun"
73,Antidepresan kullanmaya baþladýðýmdan beri daha da agresif oldum bu iþte bi terslik var,"kizgin"
74,Az önce öyle bir cesaretle öyle biþey yaptým ki kendime þaþtým yani oha,"surpriz"
75,Gece korktum sanýrým..! Dudaðým uçuklamýþ..,"korku"
76,Belgesellerde Duyamazsýnýz: Vahþi Doðadaki Hayvanlar ile Ýlgili 7 Þaþýrtýcý Gerçek ,"surpriz"
77,Genel olarak 7 öðün asabi ve agresifim ara öðünler sinirli.,"kizgin"
78,Samuel Eto'o için sürpriz transfer iddiasý,"surpriz"
79,"Fena þekilde hüzünlüyüm, dýþarýdayým ve kulaklýðým yok. Bu hayattaki görevim bitmiþtir.","uzgun"
80,Bizim için en büyük sürpriz hala Aykut kocamanýn yaptýðý yanlýþlarý görmeyip yanlýþ yapmaya devam etmesi. ,"surpriz"
81,Kim bilir belkide baðlanmaktan korkuyorum...,"korku"
82,Bir haftadýr sürekli limonlu sýcak su içmekten býktým yeter hastalýk peþimi býrak,"uzgun"
83,"Gözlerini neden öyle yapýyorsun, korkuyorum","korku"
84,"Kimin ahý varsa bende, gelsin özrümü dileyeyim de kapansýn konu. Olmuyor böyle çok yoruldum vallahi bak.","uzgun"
85,"Belirsizliklerden çok sýkýldým, net olun.","uzgun"
86,Ben mutsuzluktan saçlarýmý kestirmekten býktým onlar mutsuz etmekten býkmadýlar. ,"uzgun"
87,Açýklamasýnda birde yargý baðýmsýzlýðý ile ilgili kýsým var epey komik .,"mutlu"
88,Sabah sabah aklýmda ne iþin var ya bir defol git...,"kizgin"
89,Tam ölü taklidi yapmalýk bir gün,"korku"
90,son dakikalarý çok güzel geçiyor bursa maçýnýn,"mutlu"
91,Hayret ettim. Böyle bir açýklama beklemiyordum. ,"surpriz"
92,Yýprandým kimseye gücüm yok,"uzgun"
93,kendimi harika hissediyorum yeniden hayat doldum sanki ,"mutlu"
94,"Tekirdað’da trafik kazasý : 1 ölü, 3 yaralý ","korku"
95,Gözümü kapýyorum o an geliyor Allah'ým ne korkunçtu ya,"korku"
96,Uyumadýðým zamanlar için çok piþmaným..,"uzgun"
97,Bir süre ayaðýmdan asla çýkmýyacak bir ayakkabý aldým baya mutluyum,"mutlu"
98,Fragmanýn gelmediði her an daha da agresif hissediyorum bir þeyler oldu bana,"kizgin"
99,Gerizekalý prim yaptýðýný anlamayacaðýmýzý sanýyor,"kizgin"
100,Oha gerçekten dünyayý gezmeden önce kendi ülkemi mi gezeyim? Ciddi olamazsýn ya bu orijinal fikrin hemen patentini al.,"surpriz"
101,"Biraz da kayboldum, yoruldum ama kaçmadým savaþ yanlýsý saçlarýndan","uzgun"
102,"korku" filmi gibiydi. Evde yalnýzým ve ýþýk bir yanýp bir sönüp kapandý. ,"korku"
103,Dünyadaki en kötü þey zamanýný göz göre göre boþa harcadýðýný görmek. Ýliklerime kadar piþmaným anasýný satayým.,"uzgun"
104,Oha benimki öylesine bir umut da sen belki arkasýndan geçtin,"surpriz"
105,Yaþasýn 14 þubatta hediye alma derdi olmayanlar tayfasý,"mutlu"
106,Lan padiþah diye baðýrýyor gerizekalýlar ,"kizgin"
107,Ne zamandýr grip olmuyorum ne kötü biþeydir bu ya berbat hissediyorum kolumu zor kaldýrýyorum ya! Ve gözlerim doluyor ,"uzgun"
108,"Yorgunum, mutsuzum, umutsuzum ben bu üçgenin içinde kahrolup gidicem","uzgun"
109,Aþk öpüþmekten dudaklarý morarana deðil seni seviyorum derken yanaklarý kýzarana yakýþýr.,"mutlu"
110,Melek yüzlü adam bir an þeytana dönüþtü korktum bir an ben,"korku"
111,Çok yýprandým artýk lisansý bitirip iþsiz kaldýðým evreye geçmek istiyorum.,"uzgun"
112,Size þimdi hayret edici birþey söylücem çoðu þehre kara kýþ gelmiþken biz burdur da hala kýsa kollu giyiyoruz,"surpriz"
113,Fineas ve förb izliyordum kliplerinin top 10 listesini verdiler çok eðlendim çok mutluyum,"mutlu"
114,adam cama yazmýþ kocaman 'hayalet sütyen gelmistir' ürktüm :),"korku"
115,Çok sinirliyim her an camdan atlayabilirim,"kizgin"
116,Oha burak yýlmaz ofsayta yakalanmadý.,"surpriz"
117,"Ee sonra nolmuþ ? Hadi caným sen de, ciddi misin ? Ýnanmýyorum ?","surpriz"
118,Klasik sýnavlardan nefret ediyorum. Test sanki modern çaðýn sýnavýymýþ gibi geliyor,"kizgin"
119,Þu okulda bir þeyler kaybetmekten sýkýldým artýk Okul okul deðil kara delik sanki ,"uzgun"
120,Evet karanlýktan korkuyorum hatta ödüm bokumda þu an ,"korku"
121,Neyi kutlayacaðýmý þaþýrdým.,"surpriz"
122,Bunu duyduðuma sevindim Ýyi çalýþmalar diliyorum,"mutlu"
123,Yaklaþýk bir saat önce yine AR2673 güneþ lekesinde patlama oldu. Gelen görüntüler ürkütücü,"korku"
124,"Günaydýn, bugün harika hissediyorum tüm iðrençliklerden uzak :) çok þükür","mutlu"
125,Türkmeneli Futbol Milli Takýmý ziyaretimize geldi. Bizim için çok güzel bir sürpriz oldu. ,"surpriz"
126,Her þeyin bilincindeyim keþke olmasam,"uzgun"
127,Serra birden þiir okumaya baþladý korktum,"korku"
128,Güzel sanatlardaki uzun saçlýlarý da beðendim,"mutlu"
129,Allah'ým çok korkunçtu ya,"korku"
130,Bir an da'yý ayýramadýn sandým ödüm koptu. Gönlümü aldýn ama,"korku"
131,Ýstemsiz moralim bozuk sanýrým hoþlanmýþtým,"uzgun"
132,Bugün hiç tweet atmadým çünkü mutluyum :),"mutlu"
133,"Optimum çok kalabalýk, müthiþ bir atmosfer var, birazdan çýkacaklar, 3. salon da açýldý","mutlu"
134,Doðal olmak basit bir tavýrdýr ve bildiðin en sinir bozucu tavýr... ,"kizgin"
135,bütün gün gerizekalý bir edebiyat ödevi için uðraþtýðýma inanamýyorum ya nefret ediyorum þu dersten nefret,"kizgin"
136,Aþýlarýn iþe yaramadýðýný zannedenlerin sayýsýnýn artmasý endiþe verici. Artýk her yerdeler.,"korku"
137,Böceklere karþý fobim var diye habire onlarla karþýlaþmaktan BIK-TIM,"korku"
138,"Bilader bir kelime var ama nerde nasýl olursa olsun sinir bozucu. ""Peki""","kizgin"
139,Hayatýmda ilk defa düdüklü tencere patlamasýna denk geldim. O da benim çorba yapýþýma denk geldi. Korkunçtu. Ýyiyim.,"korku"
140,Türkiye'de çocuk olmanýn bedeli korkunç... Bebek ölüm hýzý binde 12... 2016'da zorla... ,"korku"
141,Nasýl karaktersizsiniz ya vallahi hayret ettim ama o kuþ uçtu bebeðim ya.,"surpriz"
142,Hayatýn espiri anlayýþý þaþkýnlýk verici.,"surpriz"
143,Þirketin tüm dedikodularý bende toplanýyor bunaldým amk.,"uzgun"
144,"Bence Türkiye diyet yapýlabilecek bir ülke deðil, uzgunüm.","uzgun"
145,Lan bu saatte doða fotosu paylaþmak ne mal mýsýn,"kizgin"
146,Bir fenerbahçeli olarak çok þaþýrtýcý ama beþiktaþýn turu geçeceðini düþünüyorum ve…,"surpriz"
147,Benimle ilgili yorum yapan saçma sapan insanlara hayatýmý açýp baksana sen neresindesin diye göstermek istiyorum.,"kizgin"
148,Otobüste bir delikanlý yer verdi yemin ederim ben þok hala umut varsa demek,"surpriz"
149,Atom diye sokaklarda pervasýzca baðýrmak istiyorum þu anda ,"kizgin"
150,Resmen rüyamý gerçek sanýyordum ve korktum,"korku"
151,Ýnternetin kotasý doldu çok öfkeliyim,"kizgin"
152,Evladým yapmayýn böyle þeyler be ödüm koptu ya,"korku"
153,"yalnýzým, mutsuzum, sýkýldým, çalýþmak istemiyorum, açým","uzgun"
154,Rüyamda resmen bilim kurgu filmi çektim ya inanýlmaz güzeldi inanýlmaz,"mutlu"
155,Son farmakoloji dersini de veremedik aðlayacaðým sayýn seyirciler ,"uzgun"
156,1 saatlik arada ne kadar çok iþ baþardým öyle ben þok,"surpriz"
157,"Güldüm, eðlendim keyfim yerine geldi ya ","mutlu"
158,Nereden bakarsam bakýyým mutsuzum,"uzgun"
159,Aðlamayla dolu saatler bunlar hep... ,"uzgun"
160,Yemin ederim sizinle uðraþamam benimle muhatap olmayýn,"kizgin"
161,vallahi delireceðim nereye düþtük böyle amk ya,"kizgin"
162,"sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü.","korku"
163,Kartal bebiþe kalp bulunmuþ. Günün en mutluluk verici haberi ilan ediyorum,"mutlu"
164,Spordan her geldiðimde boyum kýsalmýþ mýdýr diye korkuyorum neden amk,"korku"
165,Oha fizikten 57 almýþým,"surpriz"
166,uykuyu seçtiðim için piþmaným eve gelir gelmez ödül törenini izlicem,"uzgun"
167,"Malesef ki Hakkari'de bir Askerimiz Þehit oldu. Baþýmýz saðolsun, Allah yakýnlarýna ve Ailesine sabýr versin.","uzgun"
168,Diyelim ki ben bu gece çok kötüyüm. Nasýl teselli edersiniz,"uzgun"
169,Sabah sabah seni televizyonda gördüm ben þok,"surpriz"
170,Þu an o kadar sinirliyim ki ilk gördüðüm insaný öldürebilirim,"kizgin"
171,Piþmanlýk duyduðunuz ne varsa yakýn gitsin,"uzgun"
172,Altýn kelebekte bir ilk ! Ýlk defa güzel baþladý. vallahi beðendim ,"mutlu"
173,Vay be.. demekki bizden de kötü performans gösterenler varmýþ.,"surpriz"
174,"SK Hynix sürpriz yaptý, GDDR6 belleklerini piyasaya sürdü ","surpriz"
175,Ýnþallah bir daha karþýma çýkmazsýn senden nefret ediyorum NEFRET,"kizgin"
176,Saçlarýmý kestirmeye geldim ben bile korkuyorum kendimden þu an,"korku"
177,"Bugün çok yorgun ve mutsuzum, bir an önce ölmek istiyorum","uzgun"
178,Çok hoþ olduðunuz için çok teþekkür ederim,"mutlu"
179,Çok komik bu adam. FED Baþkaný sanýyor kendini. Bir havalar bir havalar :),"mutlu"
180,Tahmin ettiðim kiþi mi? Ciddi olamazsýn..,"surpriz"
181,"Evdekilerden biri kalkýp tuvalete gitti þu an. Korku filmi gibi, ALLAH YARDIM ET ","korku"
182,eðitim sistemi cidden berbat saçma sapan gerizekalý bir sistem ,"kizgin"
183,"yok artýk inanmam vallahi, ne gerek vardý ki aslýnda :)","surpriz"
184,Uyumadan önce çok acayip bir þarký yazmýþým. sevindim þu an.,"mutlu"
185,Saat 9 dan beri su yok çýldýracaðým,"kizgin"
186,Ýlk kez Ýstanbula gelip zamanýmý güzel deðerlendirdim sanýrým Dolu dolu geçti 4 gün Seri bitti çabuk döndüm Yarýn yayýn ,"mutlu"
187,Ya ya ben bile þoktayým senden bir sürpriz beklerdim,"surpriz"
188,Kardeþ mal mýsýn ne o özürlü özürlü hareketler defol git uzakta yaþa ya,"kizgin"
189,23 yaþýma geldim hala diþçiden korkuyorum,"korku"
190,Hadi caným baþka adam mý yoktu çok þoktayým,"surpriz"
191,Ýçinizde öldürdüðünüz kiþiyi karþýnýzda görmek çok korkutucu deðil mi?,"korku"
192,Hava soðudu kaloriferleri kapattýlar bu nasýl yurt ya delireceðim,"kizgin"
193,Böyle bir þey okuduktan sonra nasil fikir beyan edebiliyorsunuz gerçekten anlamýyorum. Ben dondum kaldým. ,"surpriz"
194,arkadaþlar bir süredir böyle ayný anda ayný þeyleri yazýyoruz korkutucu ,"korku"
195,Böyle bu þekilde olmasaydý keþke yýprandým duygularým köreldi,"uzgun"
196,Bana kýsa cevap vermeyin çok sinir oluyorum ya,"kizgin"
197,Ýnstagram keþfet sen nelere kadirsin skdajsk çok komik bir þey oldu az önce,"mutlu"
198,Ortamda en olmayacak en imkansýz kiþi misiniz? Tebrikler size aþýk oldum,"mutlu"
199,baðýracaðým þimdi o sen olsan bari diye,"kizgin"
200,Özel hayatýma burnunu sokan insanlara karþý fobim var,"korku"
201,Zihniyetini ayakta alkýþlýyorum ego ne alaka kardeþ sinir oluyorum boþ insanlarý takip ediyorum diye.,"kizgin"
202,Attýðým tivik de gitmemiþ delireceðim,"kizgin"
203,Tüm Türkiye de size yapýlan küfürler ile inliyor þu an. Þerefsizler. Hain sürüsü,"kizgin"
204,Dow Jones herkesi yeterince korkuttu. Biraz yatay takýlýp sonra yükselebilirsin mr. kovboy,"korku"
205,Gittiðim gençlik kampý inanýlmaz güzeldi.Bütün liderlerimi seviyorum,"mutlu"
206,"Ýstediðin insanla mutlu ol, o yüzün hep gülsün ama lütfen artýk defolup git þu aklýmdan","kizgin"
207,Eve geldim mutluyum huzurluyum,"mutlu"
208,Çok korkmuþ benim güzel baharým,"korku"
209,Kardeþim 300 liraya nerf almýþ olum mal mýsýn ya,"kizgin"
210,6000 karakter çeviriyi bu kadar kýsa zamanda ve bu kadar rahat bir þekilde yapmama epey þaþtým..,"surpriz"
211,Ýþ görüþmesine gittim Paris mi Amerika mý diye sordular þoktayým cevap veremedim ?? ,"surpriz"
212,Karadenizli olmayanlarýn þive yapmaya çalýþmasý çok sinir bozucu deðil mi,"kizgin"
213,Ýnanki aðlamadým hüzünlüyüm sadece ,"uzgun"
214,Biraz yatýrým yapsaydým keþke bak yine dertlendim,"uzgun"
215,bu seneki festivaller efsane geçiyor her gün festival olsa da coþsak ,"mutlu"
216,ardeþim montunu arkama bu þekil koymuþ birden arkama dönünce irkildim ,"korku"
217,Rahatsýz ediyormuþum gibi numarayý deðiþtirmek nedir ya inanamýyorum,"surpriz"
218,Ýçerde'ye ödül vermediler þu an exo'ya haksýzlýk yapýlmýþ gibi kizginým,"kizgin"
219,"Bana yalan söylediðine üzülmedim, bundan sonra sana inanamayacaðýma üzüldüm.","uzgun"
220,Beyin henüz transfer edilemiyor sizin için uzgunüm,"uzgun"
221,Benden de inatçý biri varmýþ çok þaþýrdým ben son dereceyim sanýyordum,"surpriz"
222,Susarak asil olmak bana göre deðil illa küfür edeceðim,"kizgin"
223,Haftasonu aralýksýz saatlerce uyabilecek kadar yoruldum tükendim aðlamak istiyorum,"uzgun"
224,Ölüm mü bu yoksa araftamýyým özgür bu her ne ise yaþamaktan daha korkunç,"korku"
225,Senin þu an haberin yok ama çok kizginým sana.,"kizgin"
226,Alýþýk olmadýðým bir durum gereksiz mutluyum ??,"mutlu"
227,kaç büyüklüðündeydi bu ya korktum galiba,"korku"
228,Dondum kaldým resmen ne pozisyon kaçýrdýlar be,"surpriz"
229,Elektrik gidince Ýdil sokaðý. Böyle bir karanlýkta okula gitmek korkutucu oldu. ,"korku"
230,Bu yeni kuþ ne biçim suratýma atlýyor ödüm koptu resmen,"korku"
231,"Sabahýn bu saatine kadar kaç korku filmi bitirdim hepsi kabus olacak, uyudu.","korku"
232,Bu takým her gol yediðinde kel kafalý baþkan sana küfür edeceðim,"kizgin"
233,Kale anaokulu'ndaki tüm mesai arkadaþlarýma teþekkür ederim. Güzel bir sürpriz oldu... ,"surpriz"
234,Biraz Esra Erola bakayým dedim hüngür hüngür aðlýyorum anlýk. Siz bunu nasýl izliyorsunuz,"uzgun"
235,Bu sistem beni yirmi iki bin beþ yüz altmýþ tele borçlandýrdý ama mutluyum,"mutlu"
236,Bize bu ayrýlýðý reva görenlere de bir miktar kizginým,"kizgin"
237,Mayýsý bekleme erken seçim yap ve defol git !,"kizgin"
238,Passolig ben cezayý Bozüyük vitraspordan aldým ya Beþiktaþ bayern maçýna girememek ne delireceðim,"kizgin"
239,Arkadaþlýðýnýza bayýlýyorum. Bu fotoðraf acayip hoþuma gitti. ,"mutlu"
240,Bir Karadeniz kýzýndan gelebilecek en güzel hediye teþekkür ederim Sibelim var ol,"mutlu"
241,Bir rüya gördüm çok korkunçtu.,"korku"
242,ya sabah sabah sinirden köpürdüm yine gram tahammülüm kalmadý patlýyacam çok yakýnda,"kizgin"
243,"Ya bu kýsým inanýlmaz güzeldi, Namjoon sana aþýðým ","mutlu"
244,Bugün Robinimle sahilde bir güzel eðlendik,"mutlu"
245,Mesleki geliþim 55 mi haha harika hissediyorum,"mutlu"
246,Ya of 4 senedir þu okula gelip gitmekten bunaldým artýk sýralar bile bana ' yine mi sen geldin ? ' diyor,"uzgun"
247,NtvSpor’un kapanmasýyla bu Kýrmýzý Çizgi programýnýn bitecek olmasýndan dolayý çok mutluyum,"mutlu"
248,Artýk aþkým var çok mutluyum aþkýmla,"mutlu"
249,Bu 3 yaþ düzeyi zýrvalamayý neyle izah edeceðimi þaþtým savcým,"surpriz"
250,"Hayat hiç beklediðim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor haným.","kizgin"
251,Þu an sokaða çýkýp saðda solda eyþana küfürler saçmak istiyorum sinirden delirdim resmen,"kizgin"
252,kardeþ týp bayramýn mübarek olsun ,"mutlu"
253,Sýrf inat ve egonuz yüzünden bu küfürler ,"kizgin"
254,Serdar Azizi TT görünce gene sakatlandý sandým ödüm koptu,"korku"
255,O kadar mutsuzum ki nasýl anlatayým ki?,"uzgun"
256,Kolaya giden maçlarý zora çevirmekte üstümüze yok. Sinir küpü durumlar.,"kizgin"
257,"En ufak abartý yok bu diyeceðimde. Bazý günleri, bazý insanlarý ve bazý anlarý özlemekten soldum, tükendim, halim kalmadý.","uzgun"
258,salak mýsýn ya gerizekalý yemin ediyorum mal matematikten farkýn yok,"kizgin"
259,Ben bile hayret ettim þu yaptýklarýma,"surpriz"
260,Severek ayrýlanlar bilirler ayrýlýðý. Severek ayrýlanlar yaþarlar piþmanlýðý.. ,"uzgun"
261,Mirayý kýz kardeþim olarak atadým öyle çok seviyorum,"mutlu"
262,Bu baþ aðrýsý ders çalýþmama engel oluyor bu yüzden agresifim,"kizgin"
263,özelden arýyorsunuz niye konuþmuyorsunuz amk mal mýsýnýz,"kizgin"
264,Gerçekten çýldýrmýþ bu insanlar bir kere ya bir kere þaþýralým vay diyelim helal olsun ,"surpriz"
265,O kadar sinirleniyorum ki kendime bile niye bu kadar sinirlendiðim için sinirleniyorum,"kizgin"
266,Canavarlý korkunçlu kâbus gördüm. Bilinçaltým tbt yapýyor.,"korku"
267,Bütün akrabalarýmý stalkladýmm çok eðlendim,"mutlu"
268,Ne yani böylesi korkunç bir dünyanýn bir de cehennemi mi var?,"korku"
269,"Vedalarý sevmiyorum, soguk oluyor, acý, mutsuz ","uzgun"
270,Bir kýz alýþveriþ yapmaktan nefret eder mi? Ettim,"kizgin"
271,Annem ben zannetti. Hiç alakamýz yok ama sevindim. Çok güzelsin ya.,"mutlu"
272,vallahi cok þaþkýnlýk verici ya þaþýrdým :(,"surpriz"
273,Yemin ederim huzurum kalmadý býktým,"uzgun"
274,Gerçek aþk'ý bulduðunda sevgisini öyle bir gösterir ki. Diðer insanlar bende seviyorum demeye utanýr..,"mutlu"
275,Fýrýndan yeni çýkmýþ yumuþacýk anne kekini sevdiðim gibi seviyorum seni,"mutlu"
276,Gol yedik ama ofsayt ödüm koptu dondum 3 saniye falan,"korku"
277,sevdiðim insanlar yanýmda deðil ya çok sinir oluyorum,"kizgin"
278,"Müthiþ sesli Belçikalý Selah Sue, Raggamuffin'i söylüyor. Bu eski kayýtta henüz 17 yaþýnda. ","mutlu"
279,Yaðýnda durumu bu ne diyebilirim ki uzgunüm ,"uzgun"
280,"uzgunüm, tekrar birine kendimi anlatabileceðimi sanmýyorum.","uzgun"
281,E devletten soy aðacýma bakýcam umarým laz çýkmam çok korkuyorum,"korku"
282,Bu çok endiþeli bir akla düþüþ. ,"korku"
283,Gece tam bunu dedim inanmýyorum,"surpriz"
284,Seni seven kalbim þu an senden nefret ediyor..,"kizgin"
285,Erkekleri artýk anlayamýyorum çýldýracaðým,"kizgin"
286,regl olcaðýma 3 saat trigonometri görseydim keþke iki ayný derecede iþkence çeþidi,"uzgun"
287,Ama eskisindende agresif oldum kafamda filler dans ediyor,"kizgin"
288,Çok korktum :(( hayatým gözümün önünden film þeridi gibi geçti,"korku"
289,Moralim hala çok bozuk 1-2 gün fazla online olamam hakkýnýzý helal edin,"uzgun"
290,Söz dizisini bunca zamandýr izlememiþ olan benliðime bir miktar kizginým,"kizgin"
291,Gece rüyamda gördüðüm insanýn sabah mesaj atmasý nedir ? ürktüm bir,"korku"
292,"Ben böyle iliþki görmedim ömrümde, þaþtým","surpriz"
293,17 yaþýndaki kuzenimin 37 yaþýnda bir adamla çýktýðýný(?) öðrendim napcaðýmý þaþýrdým þu an boþ boþ ekrana bakýyorum,"surpriz"
294,Diriliþ Ertuðrul'da oynayýp da bu cümleyi kurmasýna hayret ettim.,"surpriz"
295,Tarih ve sosyoloji bilmeden güncel siyaset hakkýnda konuþmak insaný epey komik duruma düþürüyor.,"mutlu"
296,3 senedir görüþmüyoruz ilk buluþmamýz hastanede oldu þaþkýným,"surpriz"
297,Sen anlat Karadeniz paylaþýmlarýndan býktým,"uzgun"
